0,1
D:/photos/SORIE/test/1f12aabd-b4ab-4de7-933a-b4e0509a023e.jpg,0
D:/photos/SORIE/train/cfacf9e1-3190-47c8-ab97-7e31ad5ec509.jpg,SUDU PLASTER KAYU (NORMAL)
D:/photos/SORIE/train/f5074cad-71fa-484b-a000-59e0c61cf0be.jpg,ROUNDING ADJ
D:/photos/SORIE/test/3beda588-c0ec-43bb-92c2-fe37fad54055.jpg,CASHIER :
D:/photos/SORIE/test/24247ff2-229d-4ae7-84a7-5b7b9571bff7.jpg,DATE
D:/photos/SORIE/test/2df3897e-9c78-4fcf-9844-44f81e8f537e.jpg,0
D:/photos/SORIE/train/1aa968b7-bb58-4ab9-ad6d-35a3d52a3a64.jpg,OPERATOR KPC - BASHUDEV NEUPANE
D:/photos/SORIE/train/8806d479-afea-4fcc-a7f3-141a7a3281a9.jpg,TOTAL AMT PAYABLE :
D:/photos/SORIE/train/b18e1c7b-8073-4916-b575-64b260895aa4.jpg,1.60
D:/photos/SORIE/test/f1254493-f437-42be-b662-1f8a773287e3.jpg,"BANDAR SERI ALAM,"
D:/photos/SORIE/test/ec338718-13d4-41f8-9499-65cd89b88d25.jpg,2876
D:/photos/SORIE/train/35dce71f-73ee-4f96-9c74-70b5b8e380f5.jpg,CASH SALES COUNTER
D:/photos/SORIE/test/79533407-c1e5-4c8f-bb46-c66e6b2c0c5b.jpg,-0.42
D:/photos/SORIE/train/b0eea318-78b7-4061-8282-cc86beac2f9f.jpg,OPERATOR TRAINEE CASHIER
D:/photos/SORIE/train/26ba468c-7162-42ef-9ada-d09696f2cb92.jpg,SR
D:/photos/SORIE/train/833bd6ea-5339-49b3-98b7-4f23ae7e0680.jpg,15.00 SR
D:/photos/SORIE/train/65b8b6d4-b5f4-45eb-81ec-53df95b1c170.jpg,0.00
D:/photos/SORIE/test/690f2dc5-6aae-4cab-af63-4c9f8c97ffbd.jpg,03-8060 4233
D:/photos/SORIE/train/d4562339-b7a8-4231-9e68-3834a9d37312.jpg,SALES@LEEWAHFLORIST.COM
D:/photos/SORIE/train/4770da63-fd2e-4b90-b079-b6e3c55db5b3.jpg,QTY
D:/photos/SORIE/train/73a32ab8-6602-4a6e-a429-53128b418c6c.jpg,SR
D:/photos/SORIE/test/3ab55122-066b-4e3f-8118-50bc47287823.jpg,2.88
D:/photos/SORIE/test/f166286f-b381-4b80-95c9-471a5762266b.jpg,TEL NO. : 03-4023 0088
D:/photos/SORIE/train/a6bf4ce5-3c9b-4311-9184-d73efc99f52c.jpg,BERAS BIRI-BIRI 10KG 5% ISTIMEWA
D:/photos/SORIE/train/ae94f440-b5d9-4966-a8ab-0c8002d71175.jpg,CASH
D:/photos/SORIE/train/14747f07-5298-49b1-8697-bfdf33e13a28.jpg,30.00
D:/photos/SORIE/train/499889d6-1d71-42b6-8fd8-974369b3ca71.jpg,STK
D:/photos/SORIE/train/0b9f34a7-d013-4847-9199-a910e7295f53.jpg,"40150 SHAH ALAM, SELANGOR, D.E."
D:/photos/SORIE/test/10f135a8-0c29-4643-806f-02e37b333b5d.jpg,DESCRIPTION
D:/photos/SORIE/test/a3a40b0f-5cf1-4add-b8e6-f9c19f4e5e5b.jpg,0.37
D:/photos/SORIE/test/c22b1e5c-b3eb-49da-835c-7f2d8ee65b51.jpg,0.00
D:/photos/SORIE/train/e870d743-306c-4f9d-9a6b-ecc1a571580e.jpg,1700
D:/photos/SORIE/train/2f9d4f7c-d73b-4f43-ada1-b4d53f9a40fa.jpg,PLEASE COME AGAIN
D:/photos/SORIE/train/4396f68e-7805-40e8-bcad-e36c7c8eb305.jpg,ISS
D:/photos/SORIE/train/25584686-9245-43be-9351-ebb4fe05b5c8.jpg,DUE
D:/photos/SORIE/test/5a4e1494-6ed8-4153-b9d9-978e3d709adc.jpg,86.00
D:/photos/SORIE/test/1b3e93f0-508c-4322-89ef-af6f1fda644a.jpg,(81109-A)
D:/photos/SORIE/train/553d1ff2-65d2-4f4d-b0d7-c1cd361b1309.jpg,TOTAL (EXCLUDING GST):
D:/photos/SORIE/train/42c1c588-0945-451a-b73c-64795ad726b0.jpg,18.40
D:/photos/SORIE/train/622f72e3-88ea-4367-85fa-0c1002fa484b.jpg,AMT(RM)
D:/photos/SORIE/test/5b320531-a518-4e1a-b4e9-eba6f4c9c59d.jpg,0
D:/photos/SORIE/train/75db56eb-0f66-47c4-8508-5440125d1a1c.jpg,GOODS SOLD ARE NON-CASH REFUNDABLE.
D:/photos/SORIE/train/4bb1a58f-76a0-4327-bf0f-9f7379de9784.jpg,PRINTED DATE
D:/photos/SORIE/train/bbdcfad2-e6fa-40c3-bc24-c90aa88bbd44.jpg,2901060611213
D:/photos/SORIE/train/0273c82e-5e30-4e85-96bf-245660c5c214.jpg,4.30
D:/photos/SORIE/train/33136ef9-976b-486a-af1b-aac03d839163.jpg,-3.60
D:/photos/SORIE/test/02f4a541-f7dc-44f7-9945-4221e801a414.jpg,VOUCHER DISCOUNT.
D:/photos/SORIE/train/5c171884-9faf-47f0-9e37-b17fb7598a0e.jpg,(RM)
D:/photos/SORIE/train/d444b292-85e9-4ace-ba91-e3447c9186ea.jpg,GST @6% INCLUDED IN TOTAL
D:/photos/SORIE/train/3711e386-6823-4087-982c-3edcdba0515f.jpg,GST SUMMARY
D:/photos/SORIE/train/2d09d052-c36d-42d2-9d63-8d2ffd98e619.jpg,TOTAL
D:/photos/SORIE/train/80a7f54f-bc81-497b-b29a-f1bb0b80cdc0.jpg,4974052801334
D:/photos/SORIE/train/eb41c70f-ea64-4cce-be7f-25cf6c7d3b88.jpg,CASH
D:/photos/SORIE/train/6a200bfa-a411-4de6-a551-c1c4fc0e70cb.jpg,0.53
D:/photos/SORIE/train/09547e51-5356-4ce4-87fb-a09c4ea7852d.jpg,VE05: RIDZUAN (11900)
D:/photos/SORIE/test/8bdf5c0d-525d-4113-b0ea-61a8cfd55e1d.jpg,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN"
D:/photos/SORIE/test/6b2f136c-0367-4b8c-b478-7eb27f30dafa.jpg,TOTAL GST(I)
